,condition,User ID,Baseline,Day 1,Day 2,Day 3,Day 4,Day 5,Weekend 1,Day 6,Day 7,Day 8,Day 9,Day 10,Weekend 2,Norstat ID
0,3.0,114514,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,LDen9K6mqnQ2ElVw
1,1.0,114719,1.0,0,1,1,1,1,1.0,1,1,1,1,1,1.0,vGWjoqeXrWBozDOX
2,1.0,114720,1.0,0,1,0,1,0,1.0,1,1,1,1,1,1.0,p3MN23ZRzaBol1ag
3,1.0,114721,1.0,0,1,1,1,1,1.0,1,1,1,1,1,1.0,NaBzAB0rea32YyVM
4,4.0,114722,1.0,0,1,1,1,1,1.0,1,1,0,0,1,1.0,LKkR2Xm4lVz9ZaYV
5,2.0,114723,1.0,1,1,1,1,1,1.0,1,1,1,1,0,1.0,zExm2Jmpbyro6PyK
6,1.0,114724,1.0,0,1,1,0,1,1.0,0,1,1,0,0,1.0,Vw142rv6Gak2aNPX
7,3.0,114725,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,EZ8qoxmQXbx26JVW
8,5.0,114726,1.0,0,1,1,1,1,1.0,1,1,1,1,1,1.0,JkVd2ngPqE69nLDq
9,4.0,114727,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,NaBzABna5bOAYyVM
10,5.0,114728,1.0,0,0,0,1,0,1.0,0,0,1,0,0,99.0,kqPlARyY6Jn9WndY
11,3.0,114729,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,JLQkAYqBq8OAOeDG
12,1.0,114732,1.0,0,0,0,1,1,1.0,1,1,1,1,1,1.0,qRZK2gvvelYobdka
13,4.0,114733,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,jYWQA6PeWKn2PXKz
14,4.0,114734,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,Elb8AvXWwqe2pLX5
15,3.0,114735,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,ybDaoy3rLmw9QdvY
16,1.0,114736,1.0,0,1,1,1,1,1.0,1,1,1,1,1,1.0,qRZK2gkDY1d2bdka
